heart_rate,spo2,temperature,respiratory_rate,systolic_bp,risk_score_2h,condition_2h,risk_score_6h,condition_6h,risk_score_12h,condition_12h,risk_score_24h,condition_24h
68.9,94.5,36.4,22.3,143.8,0.0123,Risk of hypertension,0.0128,Risk of hypertension,0.0136,Risk of hypertension,0.0151,Risk of hypertension
71.5,92.6,37.9,10.8,104.3,0.0265,No significant risk,0.0304,No significant risk,0.0363,No significant risk,0.0479,Risk of hypoxia
72.8,95.8,37.0,13.0,121.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
62.8,99.5,36.3,18.6,117.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
98.2,96.2,37.0,13.4,132.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
80.5,98.8,37.1,19.3,131.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
59.9,81.0,35.0,16.9,118.1,0.103,Risk of hypoxia,0.1191,Risk of hypoxia,0.1432,Risk of hypoxia,0.1915,Risk of hypoxia
60.4,96.1,35.9,14.3,117.7,0.0021,No significant risk,0.0023,No significant risk,0.0025,No significant risk,0.003,No significant risk
127.4,88.6,34.1,21.9,76.8,0.1949,Risk of tachycardia,0.2271,Risk of tachycardia,0.2754,Risk of tachycardia,0.3721,Risk of tachycardia
76.9,92.2,36.2,23.4,147.0,0.0327,Risk of hypertension,0.0354,Risk of hypertension,0.0396,Risk of hypertension,0.0478,Risk of hypoxia
52.8,93.1,36.5,23.3,94.2,0.0384,No significant risk,0.048,Risk of bradycardia,0.0624,Risk of bradycardia,0.0912,Risk of bradycardia
48.6,95.6,35.7,28.5,111.2,0.0527,Risk of bradycardia,0.0655,Risk of bradycardia,0.0848,Risk of bradycardia,0.1233,Risk of bradycardia
62.5,92.9,37.8,22.8,142.7,0.0306,Risk of hypertension,0.0341,Risk of hypertension,0.0394,Risk of hypertension,0.0499,Risk of hypertension
102.5,92.4,36.3,14.4,126.3,0.0203,No significant risk,0.0249,No significant risk,0.0319,No significant risk,0.0457,Risk of hypoxia
59.7,95.6,37.5,15.3,93.6,0.0026,No significant risk,0.0031,No significant risk,0.0039,No significant risk,0.0054,No significant risk
69.5,96.5,36.8,16.8,124.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
103.6,93.2,36.7,21.2,96.7,0.0183,No significant risk,0.0229,No significant risk,0.0299,No significant risk,0.0437,No significant risk
95.3,96.7,36.9,12.2,124.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
53.6,95.7,36.1,15.4,90.2,0.0247,No significant risk,0.0315,No significant risk,0.0417,Risk of bradycardia,0.0621,Risk of bradycardia
71.9,95.4,37.1,12.0,114.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
72.3,99.6,36.3,19.7,100.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
103.3,93.6,36.9,21.5,91.4,0.0158,No significant risk,0.0199,No significant risk,0.0261,No significant risk,0.0384,No significant risk
96.7,96.6,36.5,18.1,106.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
127.2,87.5,39.2,7.4,99.7,0.1652,Risk of tachycardia,0.2012,Risk of tachycardia,0.255,Risk of tachycardia,0.3628,Risk of tachycardia
64.8,96.5,37.8,15.9,107.2,0.0105,No significant risk,0.0117,No significant risk,0.0135,No significant risk,0.0171,No significant risk
90.6,85.3,35.5,32.4,141.8,0.072,Risk of hypoxia,0.0828,Risk of hypoxia,0.0991,Risk of hypoxia,0.1315,Risk of hypoxia
136.5,82.2,36.0,30.6,114.0,0.1581,Risk of tachycardia,0.2001,Risk of tachycardia,0.2631,Risk of tachycardia,0.3891,Risk of tachycardia
152.6,88.1,38.2,29.3,179.1,0.2864,Risk of tachycardia,0.3382,Risk of tachycardia,0.4159,Risk of tachycardia,0.5712,Risk of tachycardia
53.3,94.4,37.2,16.3,133.7,0.029,No significant risk,0.0367,No significant risk,0.0483,Risk of bradycardia,0.0714,Risk of bradycardia
91.3,93.1,37.4,17.6,98.3,0.0103,No significant risk,0.0122,No significant risk,0.0151,No significant risk,0.0207,No significant risk
89.9,97.4,36.3,19.7,125.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
88.4,85.0,39.3,21.2,160.5,0.1694,Risk of hypoxia,0.1866,Risk of hypoxia,0.2123,Risk of hypoxia,0.2638,Risk of hypoxia
77.9,95.6,36.3,12.0,92.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
65.3,88.9,38.9,22.0,85.7,0.0963,Risk of hypoxia,0.1079,Risk of hypoxia,0.1253,Risk of hypoxia,0.16,Risk of hypoxia
110.0,90.4,38.4,34.3,142.4,0.0871,Risk of hypoxia,0.1033,Risk of hypoxia,0.1276,Risk of hypoxia,0.1763,Risk of tachycardia
92.2,92.4,37.7,11.7,106.3,0.0228,No significant risk,0.0264,No significant risk,0.0318,No significant risk,0.0424,Risk of hypoxia
109.7,83.3,36.3,30.8,110.9,0.0877,Risk of hypoxia,0.1072,Risk of hypoxia,0.1364,Risk of hypoxia,0.1948,Risk of tachycardia
46.0,91.3,38.9,11.3,123.1,0.125,Risk of bradycardia,0.1493,Risk of bradycardia,0.1858,Risk of bradycardia,0.2588,Risk of bradycardia
88.3,97.7,36.8,13.6,100.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
72.9,97.8,37.0,17.3,111.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
124.9,94.5,36.7,13.5,72.1,0.1219,Risk of hypotension,0.1423,Risk of tachycardia,0.1729,Risk of tachycardia,0.2341,Risk of tachycardia
50.2,81.4,36.7,22.4,146.1,0.1283,Risk of bradycardia,0.1524,Risk of bradycardia,0.1886,Risk of bradycardia,0.261,Risk of bradycardia
75.2,98.1,37.2,17.8,136.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
109.0,79.0,37.7,24.1,146.3,0.1311,Risk of hypoxia,0.1549,Risk of hypoxia,0.1906,Risk of hypoxia,0.262,Risk of tachycardia
84.4,94.0,36.8,12.8,137.3,0.0055,No significant risk,0.0065,No significant risk,0.0079,No significant risk,0.0109,No significant risk
63.4,97.2,36.8,15.5,103.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
72.6,97.6,37.8,17.0,106.3,0.0108,No significant risk,0.0121,No significant risk,0.0139,No significant risk,0.0176,No significant risk
39.6,85.0,35.4,32.7,66.6,0.2288,Risk of bradycardia,0.2619,Risk of bradycardia,0.3115,Risk of bradycardia,0.4108,Risk of bradycardia
98.1,94.9,35.7,23.6,118.7,0.0079,No significant risk,0.0086,No significant risk,0.0096,No significant risk,0.0116,No significant risk
65.4,94.9,36.6,11.0,91.9,0.0005,No significant risk,0.0006,No significant risk,0.0008,No significant risk,0.0011,No significant risk
65.0,79.1,36.5,28.3,73.4,0.1429,Risk of hypoxia,0.1588,Risk of hypoxia,0.1827,Risk of hypoxia,0.2304,Risk of hypoxia
57.7,92.2,35.6,21.7,92.7,0.0336,No significant risk,0.0395,No significant risk,0.0484,No significant risk,0.0661,Risk of hypoxia
77.5,99.2,36.4,15.4,92.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
87.5,95.4,36.3,14.4,91.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
56.5,96.6,37.9,23.6,141.2,0.0314,Risk of hypertension,0.0369,Risk of hypertension,0.045,Risk of hypertension,0.0613,Risk of bradycardia
95.6,93.7,37.1,16.4,116.3,0.0071,No significant risk,0.0084,No significant risk,0.0103,No significant risk,0.0142,No significant risk
70.2,81.7,39.5,7.6,130.6,0.143,Risk of hypoxia,0.1642,Risk of hypoxia,0.196,Risk of hypoxia,0.2596,Risk of hypoxia
111.3,86.5,34.7,16.0,180.0,0.2066,Risk of hypoxia,0.2267,Risk of hypoxia,0.2568,Risk of hypoxia,0.317,Risk of tachycardia
83.5,92.6,35.5,23.5,109.5,0.0252,No significant risk,0.0285,No significant risk,0.0335,No significant risk,0.0434,Risk of hypoxia
55.2,96.1,37.8,18.1,93.2,0.0303,No significant risk,0.0368,No significant risk,0.0465,No significant risk,0.0659,Risk of bradycardia
99.8,94.4,37.7,19.1,143.5,0.0188,Risk of hypertension,0.0201,Risk of hypertension,0.0222,Risk of hypertension,0.0262,Risk of hypertension
58.5,93.9,36.0,22.7,134.4,0.0119,No significant risk,0.0147,No significant risk,0.0187,No significant risk,0.0268,No significant risk
69.6,93.1,37.4,16.6,99.7,0.0104,No significant risk,0.0123,No significant risk,0.0152,No significant risk,0.0209,No significant risk
52.6,94.0,36.7,12.1,149.0,0.0568,Risk of hypertension,0.0657,Risk of bradycardia,0.0791,Risk of bradycardia,0.1058,Risk of bradycardia
65.2,96.0,36.9,15.4,118.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
61.4,97.2,37.0,19.1,94.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
109.4,94.3,37.6,11.9,145.8,0.0433,Risk of hypertension,0.0517,Risk of hypertension,0.0644,Risk of hypertension,0.0898,Risk of tachycardia
152.7,89.2,35.5,33.2,102.2,0.1701,Risk of tachycardia,0.2189,Risk of tachycardia,0.2922,Risk of tachycardia,0.4387,Risk of tachycardia
95.6,96.6,37.8,12.9,136.9,0.0114,No significant risk,0.0127,No significant risk,0.0147,No significant risk,0.0185,No significant risk
43.0,83.1,35.0,14.8,197.7,0.3019,Risk of bradycardia,0.334,Risk of bradycardia,0.3821,Risk of bradycardia,0.4783,Risk of bradycardia
96.6,97.9,36.4,21.2,113.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
57.6,94.9,34.5,15.5,167.1,0.1158,Risk of hypothermia,0.1214,Risk of hypothermia,0.1298,Risk of hypothermia,0.1467,Risk of hypothermia
89.5,94.7,37.4,13.2,88.8,0.0058,Risk of hypotension,0.0062,Risk of hypotension,0.0067,Risk of hypotension,0.0077,Risk of hypotension
79.0,95.8,36.5,15.2,92.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
107.5,92.9,37.0,19.3,112.3,0.0295,No significant risk,0.0375,No significant risk,0.0496,No significant risk,0.0739,No significant risk
86.3,85.6,33.1,26.1,154.3,0.1641,Risk of hypoxia,0.1794,Risk of hypoxia,0.2023,Risk of hypoxia,0.2482,Risk of hypoxia
74.7,99.9,36.6,16.0,135.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
107.8,91.8,39.1,19.2,129.1,0.0913,Possible fever development,0.1069,Possible fever development,0.1304,Risk of hypoxia,0.1774,Risk of hypoxia
112.8,96.2,35.7,22.1,116.2,0.0384,No significant risk,0.0492,No significant risk,0.0655,No significant risk,0.0981,Risk of tachycardia
82.0,97.1,37.1,13.6,131.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
53.5,97.8,36.8,14.1,115.5,0.0249,No significant risk,0.0318,No significant risk,0.0421,Risk of bradycardia,0.0628,Risk of bradycardia
73.1,79.0,33.9,14.6,170.3,0.218,Risk of hypoxia,0.2382,Risk of hypoxia,0.2684,Risk of hypoxia,0.3288,Risk of hypoxia
64.8,93.0,36.3,23.2,107.3,0.011,No significant risk,0.013,No significant risk,0.016,No significant risk,0.022,No significant risk
95.7,78.8,39.2,19.4,160.8,0.2027,Risk of hypoxia,0.2259,Risk of hypoxia,0.2607,Risk of hypoxia,0.3303,Risk of hypoxia
41.3,77.0,38.0,14.2,89.9,0.1908,Risk of bradycardia,0.231,Risk of bradycardia,0.2911,Risk of bradycardia,0.4115,Risk of bradycardia
60.9,98.9,36.2,15.7,120.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
51.8,96.7,35.5,20.7,143.1,0.0518,Risk of hypertension,0.0616,Risk of bradycardia,0.0762,Risk of bradycardia,0.1054,Risk of bradycardia
84.8,94.9,36.5,22.4,143.1,0.0085,Risk of hypertension,0.0087,Risk of hypertension,0.0089,Risk of hypertension,0.0093,Risk of hypertension
90.0,97.6,37.9,17.1,114.4,0.0143,No significant risk,0.0159,No significant risk,0.0184,No significant risk,0.0232,No significant risk
98.4,95.7,36.7,14.3,104.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
114.9,92.3,36.9,11.2,95.0,0.0505,No significant risk,0.0651,No significant risk,0.087,Risk of tachycardia,0.1308,Risk of tachycardia
83.2,93.6,36.3,11.2,104.7,0.008,No significant risk,0.0094,No significant risk,0.0116,No significant risk,0.0159,No significant risk
153.1,82.0,37.0,32.4,65.8,0.2793,Risk of tachycardia,0.3347,Risk of tachycardia,0.4179,Risk of tachycardia,0.5842,Risk of tachycardia
153.5,76.9,34.1,33.9,137.6,0.2766,Risk of tachycardia,0.3412,Risk of tachycardia,0.4382,Risk of tachycardia,0.6322,Risk of tachycardia
70.3,97.2,36.9,17.9,139.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
81.5,97.7,36.5,13.4,138.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
97.3,87.7,34.6,21.8,158.8,0.124,Risk of hypoxia,0.1342,Risk of hypoxia,0.1494,Risk of hypoxia,0.1798,Risk of hypoxia
114.4,95.7,36.4,20.8,96.1,0.0345,No significant risk,0.046,No significant risk,0.0632,Risk of tachycardia,0.0977,Risk of tachycardia
72.6,94.6,37.5,16.8,136.6,0.0023,No significant risk,0.0027,No significant risk,0.0033,No significant risk,0.0045,No significant risk
72.2,96.9,36.1,13.1,117.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
60.4,98.2,36.7,15.6,138.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
106.1,92.8,36.9,22.2,122.9,0.0266,No significant risk,0.0337,No significant risk,0.0442,No significant risk,0.0654,No significant risk
81.5,76.9,36.2,17.4,182.1,0.2045,Risk of hypoxia,0.2225,Risk of hypoxia,0.2496,Risk of hypoxia,0.3038,Risk of hypoxia
98.7,99.8,36.4,14.8,134.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
90.4,81.7,36.7,25.9,101.9,0.0729,Risk of hypoxia,0.0862,Risk of hypoxia,0.1061,Risk of hypoxia,0.1458,Risk of hypoxia
41.5,76.0,35.7,16.3,107.6,0.1837,Risk of bradycardia,0.223,Risk of bradycardia,0.282,Risk of bradycardia,0.4,Risk of bradycardia
70.8,93.2,36.3,23.6,111.7,0.0102,No significant risk,0.012,No significant risk,0.0148,No significant risk,0.0203,No significant risk
87.5,97.9,36.1,19.5,131.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
55.8,96.1,35.7,18.3,133.1,0.0252,No significant risk,0.0304,No significant risk,0.0382,No significant risk,0.0539,Risk of bradycardia
93.7,95.2,37.0,15.7,100.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
98.1,95.4,36.3,14.8,121.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
58.2,93.7,36.1,13.0,111.7,0.014,No significant risk,0.0172,No significant risk,0.0221,No significant risk,0.0317,No significant risk
62.2,82.7,35.7,34.3,193.9,0.2092,Risk of hypoxia,0.222,Risk of hypoxia,0.2413,Risk of hypoxia,0.2797,Risk of hypoxia
65.2,76.4,35.2,13.7,133.3,0.1225,Risk of hypoxia,0.1426,Risk of hypoxia,0.1728,Risk of hypoxia,0.2332,Risk of hypoxia
142.3,92.7,35.5,25.9,107.2,0.1265,Risk of tachycardia,0.1635,Risk of tachycardia,0.2191,Risk of tachycardia,0.3303,Risk of tachycardia
88.1,95.0,36.6,14.6,124.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
73.0,92.0,35.1,18.9,163.1,0.0986,Risk of hypertension,0.1035,Risk of hypothermia,0.1107,Risk of hypothermia,0.1253,Risk of hypoxia
114.2,93.4,37.2,18.5,144.5,0.0543,Risk of hypertension,0.0673,Risk of hypertension,0.0868,Risk of tachycardia,0.1258,Risk of tachycardia
90.1,97.8,36.4,15.8,106.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
107.8,95.4,37.1,17.3,88.3,0.0243,Risk of hypotension,0.0305,Risk of hypotension,0.0398,Risk of hypotension,0.0585,Risk of hypotension
79.7,96.6,36.3,16.0,106.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
78.6,95.7,37.1,18.9,125.4,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
91.0,99.0,36.9,12.9,122.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
107.2,88.6,36.2,21.3,69.6,0.1204,Risk of hypoxia,0.1326,Risk of hypoxia,0.1508,Risk of hypoxia,0.1873,Risk of hypoxia
55.3,94.6,36.2,17.6,93.7,0.0203,No significant risk,0.0258,No significant risk,0.0339,No significant risk,0.0501,Risk of bradycardia
101.7,93.0,35.8,12.0,142.0,0.0264,Risk of hypertension,0.0302,Risk of hypertension,0.036,Risk of hypertension,0.0475,Risk of hypertension
80.4,92.6,37.1,22.2,138.8,0.013,No significant risk,0.0153,No significant risk,0.0189,No significant risk,0.026,Risk of hypoxia
54.9,92.7,35.6,13.6,93.8,0.0423,No significant risk,0.0509,No significant risk,0.0636,Risk of bradycardia,0.0892,Risk of bradycardia
75.4,99.7,36.8,18.7,125.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
89.4,96.4,36.8,14.7,139.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
71.2,99.7,36.1,17.6,126.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
156.8,95.5,33.5,29.8,152.3,0.2331,Risk of tachycardia,0.2836,Risk of tachycardia,0.3594,Risk of tachycardia,0.511,Risk of tachycardia
58.3,95.9,38.0,22.8,113.5,0.0225,No significant risk,0.0261,No significant risk,0.0315,No significant risk,0.0423,No significant risk
74.5,99.1,36.9,15.7,92.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
80.5,97.6,37.1,14.4,119.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
98.9,96.8,36.6,14.8,124.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
96.5,93.6,36.3,11.8,127.6,0.0077,No significant risk,0.009,No significant risk,0.0111,No significant risk,0.0153,No significant risk
83.9,99.3,37.1,15.6,113.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
86.8,99.1,36.4,15.4,131.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
65.4,86.6,34.3,9.0,188.0,0.2094,Risk of hypoxia,0.2211,Risk of hypoxia,0.2387,Risk of hypoxia,0.274,Risk of hypoxia
130.0,76.0,38.9,18.7,111.2,0.2261,Risk of tachycardia,0.2747,Risk of tachycardia,0.3476,Risk of tachycardia,0.4934,Risk of tachycardia
55.9,96.5,37.0,12.6,97.2,0.0157,No significant risk,0.02,No significant risk,0.0265,No significant risk,0.0395,Risk of bradycardia
62.3,97.9,37.0,12.1,92.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
103.3,94.0,36.4,18.3,102.8,0.0136,No significant risk,0.0172,No significant risk,0.0227,No significant risk,0.0337,No significant risk
89.4,98.1,36.7,17.9,123.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
74.1,95.6,36.2,17.4,132.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
113.5,78.9,33.7,29.6,143.1,0.1878,Risk of hypoxia,0.2193,Risk of hypoxia,0.2666,Risk of hypoxia,0.361,Risk of tachycardia
100.8,96.2,37.6,10.8,133.6,0.005,No significant risk,0.0059,No significant risk,0.0074,No significant risk,0.0103,No significant risk
70.8,88.4,35.2,33.8,69.5,0.1251,Risk of hypoxia,0.1333,Risk of hypoxia,0.1455,Risk of hypoxia,0.17,Risk of hypoxia
60.8,96.3,35.9,13.3,117.1,0.0016,No significant risk,0.0017,No significant risk,0.0019,No significant risk,0.0022,No significant risk
61.5,78.0,38.3,20.5,188.1,0.2423,Risk of hypoxia,0.2625,Risk of hypoxia,0.2928,Risk of hypoxia,0.3535,Risk of hypoxia
85.8,96.2,36.3,17.5,119.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
73.7,84.4,35.8,34.5,104.5,0.0625,Risk of hypoxia,0.0734,Risk of hypoxia,0.0898,Risk of hypoxia,0.1225,Risk of hypoxia
74.2,97.8,36.4,19.3,103.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
47.9,88.8,39.3,10.9,195.7,0.2855,Risk of bradycardia,0.3119,Risk of bradycardia,0.3517,Risk of bradycardia,0.4311,Risk of bradycardia
111.5,96.1,36.3,12.6,104.7,0.0275,No significant risk,0.0367,No significant risk,0.0505,No significant risk,0.078,Risk of tachycardia
65.8,95.5,36.6,18.4,97.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
85.7,96.0,36.2,13.3,136.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
79.3,88.8,36.8,25.6,157.2,0.0772,Risk of hypoxia,0.0834,Risk of hypoxia,0.0927,Risk of hypoxia,0.1114,Risk of hypoxia
67.3,92.2,36.6,22.5,122.0,0.0152,No significant risk,0.018,No significant risk,0.0221,No significant risk,0.0304,Risk of hypoxia
159.0,78.4,37.8,25.6,197.3,0.3879,Risk of tachycardia,0.453,Risk of tachycardia,0.5507,Risk of tachycardia,0.746,Risk of tachycardia
120.8,80.1,38.6,9.1,170.4,0.2464,Risk of hypoxia,0.2823,Risk of tachycardia,0.3361,Risk of tachycardia,0.4439,Risk of tachycardia
82.9,88.2,36.0,18.7,106.9,0.0372,Risk of hypoxia,0.0439,Risk of hypoxia,0.0541,Risk of hypoxia,0.0743,Risk of hypoxia
152.0,94.8,34.2,31.4,164.6,0.2338,Risk of tachycardia,0.2792,Risk of tachycardia,0.3473,Risk of tachycardia,0.4836,Risk of tachycardia
62.7,96.3,37.1,17.1,126.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
88.8,95.1,36.5,17.0,97.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
64.4,88.7,35.8,23.3,79.5,0.0739,Risk of hypoxia,0.0805,Risk of hypoxia,0.0905,Risk of hypoxia,0.1104,Risk of hypoxia
96.4,96.3,37.0,20.0,100.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
86.5,99.8,37.1,16.0,129.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
99.1,99.8,36.3,14.4,95.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
92.6,96.9,36.2,14.7,139.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
77.1,93.0,38.0,21.5,103.3,0.0274,No significant risk,0.0313,No significant risk,0.0371,No significant risk,0.0487,No significant risk
62.3,95.6,36.7,19.4,114.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
90.7,89.9,38.1,11.0,113.8,0.0502,Risk of hypoxia,0.0578,Risk of hypoxia,0.0692,Risk of hypoxia,0.092,Risk of hypoxia
54.6,94.2,36.8,23.9,115.8,0.0255,No significant risk,0.0321,No significant risk,0.042,Risk of bradycardia,0.0617,Risk of bradycardia
89.0,91.7,37.2,31.7,120.5,0.018,No significant risk,0.0213,No significant risk,0.0262,Risk of hypoxia,0.036,Risk of hypoxia
91.0,94.5,35.9,11.3,86.1,0.0194,Risk of hypotension,0.0202,Risk of hypotension,0.0213,Risk of hypotension,0.0237,Risk of hypotension
64.6,79.4,38.2,15.3,133.3,0.1086,Risk of hypoxia,0.1268,Risk of hypoxia,0.154,Risk of hypoxia,0.2085,Risk of hypoxia
98.4,99.3,37.1,15.3,128.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
60.3,95.1,36.7,15.6,115.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
76.9,98.6,36.6,17.9,101.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
108.6,79.4,34.7,24.2,177.0,0.2337,Risk of hypoxia,0.2588,Risk of hypoxia,0.2965,Risk of hypoxia,0.3718,Risk of hypoxia
66.8,97.2,37.2,16.3,116.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
85.1,96.8,37.2,15.8,114.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
109.6,96.8,36.6,20.1,123.1,0.023,No significant risk,0.0307,No significant risk,0.0422,No significant risk,0.0652,Risk of tachycardia
62.5,94.8,36.1,22.8,106.8,0.0012,No significant risk,0.0014,No significant risk,0.0017,No significant risk,0.0024,No significant risk
101.6,88.3,36.8,9.8,115.7,0.041,Risk of hypoxia,0.049,Risk of hypoxia,0.0611,Risk of hypoxia,0.0852,Risk of hypoxia
84.9,97.2,37.0,13.8,98.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
110.2,96.3,36.5,17.2,90.5,0.0245,No significant risk,0.0327,No significant risk,0.045,No significant risk,0.0696,Risk of tachycardia
118.3,81.0,37.1,9.2,195.4,0.2594,Risk of hypoxia,0.2881,Risk of hypoxia,0.331,Risk of tachycardia,0.417,Risk of tachycardia
85.9,96.2,36.9,18.2,123.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
108.0,92.5,36.3,13.5,149.2,0.0562,Risk of hypertension,0.0651,Risk of hypertension,0.0785,Risk of hypertension,0.1053,Risk of hypoxia
97.6,96.1,36.0,13.3,103.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
65.2,92.1,37.7,23.5,107.2,0.0229,No significant risk,0.0265,No significant risk,0.0321,No significant risk,0.0431,Risk of hypoxia
50.5,96.1,37.6,12.1,95.4,0.0391,Risk of bradycardia,0.0496,Risk of bradycardia,0.0652,Risk of bradycardia,0.0965,Risk of bradycardia
112.0,75.9,37.4,15.0,114.8,0.1337,Risk of hypoxia,0.1624,Risk of hypoxia,0.2054,Risk of hypoxia,0.2915,Risk of tachycardia
136.4,83.4,39.6,17.8,169.2,0.2993,Risk of tachycardia,0.3485,Risk of tachycardia,0.4223,Risk of tachycardia,0.5699,Risk of tachycardia
108.3,97.4,35.7,23.1,138.7,0.0273,No significant risk,0.0346,No significant risk,0.0454,No significant risk,0.0671,No significant risk
60.1,91.9,39.0,14.4,193.6,0.2022,Possible fever development,0.2111,Possible fever development,0.2244,Possible fever development,0.2511,Risk of hypoxia
66.0,97.7,36.7,17.2,90.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
40.6,78.0,33.1,22.4,190.9,0.3712,Risk of bradycardia,0.4147,Risk of bradycardia,0.48,Risk of bradycardia,0.6105,Risk of bradycardia
103.5,92.1,36.9,16.4,117.4,0.0244,No significant risk,0.0301,No significant risk,0.0386,No significant risk,0.0557,Risk of hypoxia
