heart_rate,spo2,temperature,respiratory_rate,systolic_bp,sleep_hours,stress_level,activity_level,risk_level
82.0,100.0,37.1,25.7,135.8,11.9,6.5,1.3,low
96.8,95.0,37.7,21.8,146.6,2.2,7.1,7.1,moderate
74.6,95.3,36.8,18.9,122.2,4.8,5.1,7.7,low
89.7,98.9,37.2,19.5,140.2,3.6,8.5,7.0,moderate
80.9,98.3,36.8,17.0,122.8,8.0,1.2,8.0,low
95.1,97.8,36.0,19.7,120.5,5.8,7.7,4.2,moderate
62.4,96.4,36.9,17.2,115.4,5.3,2.4,6.1,low
97.9,94.7,36.8,27.5,131.3,9.4,9.3,1.7,moderate
86.7,96.0,37.7,13.9,116.8,6.8,6.6,4.3,low
70.8,99.0,36.3,14.9,136.4,6.1,0.2,6.7,low
71.4,96.3,36.3,19.0,142.5,4.9,5.7,4.2,low
75.2,99.2,36.0,17.9,121.0,3.2,1.6,6.4,low
109.7,94.6,36.5,24.5,123.2,10.2,7.1,8.3,high
79.0,96.3,36.0,19.8,139.3,2.8,5.7,4.3,moderate
74.0,100.0,36.1,19.7,111.3,6.7,3.9,7.2,low
82.8,96.6,36.5,23.4,153.6,11.7,9.4,2.7,moderate
75.6,95.1,36.7,23.5,119.4,3.6,0.6,2.7,moderate
91.8,94.2,36.1,17.8,108.8,10.5,2.3,8.2,low
85.8,95.7,36.3,16.6,121.7,3.8,3.6,6.5,low
89.0,96.3,37.0,17.3,117.7,6.3,2.3,0.5,low
69.8,94.8,37.7,24.3,125.6,5.5,3.6,8.4,low
91.6,94.1,36.8,19.9,124.5,6.1,5.5,9.4,low
76.6,96.8,37.4,18.8,109.6,6.1,0.4,9.6,low
74.2,99.8,36.1,17.6,96.5,6.9,4.2,2.9,low
98.2,99.4,36.4,20.7,143.6,7.3,7.8,7.7,low
89.0,99.2,36.5,18.1,146.4,3.5,6.8,1.0,moderate
99.5,93.2,35.6,18.6,159.9,2.2,4.7,9.3,moderate
73.4,94.5,36.3,19.1,126.4,3.7,0.2,6.1,low
88.3,98.7,36.4,18.0,139.6,8.6,3.7,7.8,low
92.5,98.6,36.9,18.7,123.9,7.7,1.3,8.4,low
89.4,93.8,36.3,21.7,104.6,5.7,6.2,5.8,low
72.3,96.8,37.0,16.3,110.6,6.3,2.6,7.6,low
107.2,91.8,36.1,25.5,122.2,11.4,0.8,9.6,high
69.4,97.4,36.7,21.1,122.2,10.4,4.0,4.3,low
72.5,94.2,36.5,16.1,131.8,3.8,4.4,8.0,low
79.6,98.5,37.5,17.0,136.2,9.4,4.8,4.5,low
100.6,94.1,37.6,25.8,128.7,9.3,6.9,8.2,moderate
76.3,98.4,36.9,12.9,110.5,10.8,2.7,3.4,low
98.1,95.1,36.5,14.8,119.4,10.8,5.3,8.9,low
96.7,99.0,37.3,21.9,148.2,9.2,9.6,6.9,low
103.6,100.0,36.6,20.5,146.8,8.3,7.0,2.5,moderate
103.0,97.9,37.2,21.2,134.4,7.5,8.8,4.5,moderate
98.5,94.2,35.9,24.4,149.5,8.7,8.9,4.3,moderate
89.7,99.2,36.5,17.7,119.9,4.0,6.7,6.5,moderate
113.1,95.6,37.4,17.9,123.7,6.7,6.8,9.1,moderate
86.4,96.1,36.9,15.2,113.6,5.7,1.1,9.7,low
75.4,97.3,36.2,20.4,102.6,11.5,2.8,0.2,low
80.9,94.5,35.8,17.3,125.6,3.1,3.1,4.2,low
86.8,97.6,37.5,17.2,127.8,11.2,7.2,8.2,low
99.4,100.0,36.1,16.5,122.1,8.9,9.9,4.7,low
109.1,96.7,36.9,19.5,129.6,9.5,8.7,8.8,moderate
89.3,95.4,37.1,11.6,134.9,9.3,3.0,0.5,low
83.5,95.6,35.7,19.2,111.7,11.0,4.3,1.7,low
102.3,98.6,37.0,20.4,117.5,8.7,7.3,8.1,moderate
106.1,94.3,36.1,18.7,146.3,4.9,6.9,9.2,moderate
68.3,95.2,36.3,17.5,117.3,10.8,1.1,0.4,low
82.1,100.0,37.6,18.3,129.4,8.7,2.3,2.4,low
97.5,92.4,36.8,25.0,111.7,8.7,4.5,8.9,moderate
87.6,94.8,37.2,14.9,126.3,3.8,0.5,5.7,low
100.7,98.0,36.7,19.9,161.0,3.0,7.0,3.7,critical
88.2,97.7,36.2,16.3,150.7,9.7,7.8,2.3,moderate
89.2,96.5,37.2,14.1,140.4,3.0,7.2,3.0,moderate
81.0,97.3,36.1,16.2,124.0,3.0,2.9,6.6,low
91.5,96.7,37.1,14.4,115.7,3.7,0.7,6.7,low
77.5,98.7,36.7,21.4,145.6,5.0,0.8,9.4,low
106.5,94.6,37.1,21.6,126.3,2.9,6.4,1.6,high
80.9,96.8,36.2,16.9,133.6,5.5,0.4,7.2,low
95.4,94.7,37.7,24.1,152.8,2.5,9.7,8.3,high
80.4,94.5,36.8,17.3,118.5,11.6,1.5,7.5,low
81.1,100.0,36.3,13.4,128.1,6.2,6.5,5.0,low
118.4,94.8,37.3,25.0,136.9,4.1,9.3,8.0,high
83.3,93.7,37.1,18.1,92.6,9.8,2.4,2.6,low
96.0,94.3,36.9,23.7,93.5,6.3,3.9,9.6,low
84.1,99.6,36.8,20.0,109.1,8.1,4.7,8.1,low
97.6,96.2,36.6,23.3,122.3,10.9,7.7,9.3,moderate
65.0,99.7,36.4,14.6,112.0,3.6,1.3,0.1,low
70.8,98.0,36.8,18.6,143.1,10.4,6.5,7.1,low
59.9,98.3,36.8,22.3,120.0,8.6,6.5,0.6,low
80.2,97.5,36.1,11.5,104.8,11.6,2.2,4.6,low
85.5,96.6,36.3,18.3,114.7,10.3,0.1,8.0,low
106.2,96.8,36.4,18.9,121.7,8.2,4.9,9.7,low
99.5,93.7,36.1,13.5,140.5,8.0,6.9,2.2,low
92.3,100.0,36.5,14.0,128.6,2.1,3.7,6.1,low
72.2,95.2,35.9,15.6,105.6,11.8,2.4,7.2,low
81.4,96.6,36.9,19.7,115.9,7.6,6.6,0.6,low
79.7,99.4,36.4,13.1,123.5,6.7,5.0,1.3,low
93.9,99.4,36.6,11.3,106.1,3.1,3.7,2.4,low
85.5,94.1,35.7,20.9,127.5,11.1,5.8,5.7,low
91.4,96.5,37.4,22.6,121.5,6.6,1.8,3.1,low
121.5,94.0,37.7,23.4,164.0,7.2,8.9,9.9,critical
64.7,96.6,36.2,10.9,149.8,9.7,5.5,5.4,low
119.5,94.7,36.3,20.9,137.6,11.0,9.1,8.2,high
93.4,97.0,36.5,19.1,113.0,5.3,4.6,9.6,low
81.3,94.0,37.4,14.8,115.4,7.2,6.7,0.4,low
77.9,100.0,36.6,20.4,106.1,10.9,2.9,7.3,low
87.7,98.6,35.5,18.6,140.4,6.6,4.4,8.6,low
97.5,96.4,36.4,21.3,146.4,11.3,7.8,6.4,low
66.8,96.2,36.2,17.6,133.1,8.5,5.1,1.5,low
86.1,99.3,36.1,13.9,126.9,6.6,1.4,3.1,low
83.1,96.0,36.4,14.8,138.1,9.2,6.7,7.5,low
83.2,94.9,37.1,17.7,96.2,11.3,0.6,0.1,low
98.7,97.8,37.1,18.6,142.0,3.0,6.4,3.3,moderate
75.7,98.7,36.9,14.9,129.7,6.0,7.7,6.1,low
87.0,97.0,36.5,18.2,132.4,8.1,6.2,4.4,low
90.5,97.8,35.9,17.7,162.2,5.0,7.4,7.1,moderate
103.1,99.1,37.5,21.1,120.2,10.3,8.3,8.5,moderate
74.4,94.6,36.2,17.6,135.1,7.1,1.4,6.9,low
86.6,98.2,36.3,18.8,162.7,10.4,7.6,6.0,moderate
128.2,98.0,37.0,26.2,130.5,12.0,9.8,9.7,high
92.1,98.0,37.4,24.9,150.6,11.7,9.5,6.8,moderate
74.2,100.0,36.8,17.3,150.2,3.4,4.7,3.6,moderate
76.0,94.5,36.2,23.2,114.6,6.6,4.0,8.6,low
84.1,99.1,36.3,15.9,126.1,9.0,0.5,3.9,low
109.4,99.3,36.7,22.8,146.5,10.2,7.0,9.7,moderate
99.2,97.9,36.7,16.5,122.7,10.6,6.2,9.3,low
86.9,94.5,36.1,14.7,98.5,11.2,3.9,5.0,low
98.3,95.5,36.4,24.9,154.5,3.3,7.7,2.2,high
91.2,96.3,36.9,21.2,146.5,2.2,2.4,4.3,low
76.3,97.5,37.5,21.9,115.6,10.4,5.9,7.8,low
99.0,99.1,37.1,22.3,129.3,4.1,7.8,8.0,moderate
103.4,99.8,37.3,21.5,137.8,11.3,9.9,4.3,moderate
108.5,97.0,36.9,27.0,124.8,8.9,8.9,8.7,high
94.4,97.9,37.1,20.4,148.0,10.2,9.9,2.6,low
71.8,96.1,36.4,10.9,123.6,6.9,0.9,2.6,low
102.3,97.0,37.2,20.9,144.1,8.2,7.1,8.3,moderate
100.4,96.7,38.0,22.5,147.8,4.8,8.8,5.4,high
103.7,96.7,36.5,24.7,142.6,8.3,9.8,6.9,high
86.5,96.0,36.8,21.8,159.6,3.6,9.8,3.2,high
79.4,96.3,36.2,16.8,127.7,3.9,2.4,7.9,low
113.0,94.5,37.5,18.7,133.6,10.9,9.1,1.0,moderate
110.2,96.3,36.1,29.8,144.6,9.3,9.4,0.9,high
73.8,97.4,35.7,16.6,139.9,5.0,6.7,6.5,low
74.8,98.1,36.9,11.0,121.1,6.8,0.1,4.4,low
115.9,97.5,35.6,22.2,123.6,6.7,5.6,10.0,moderate
88.7,96.4,36.7,13.8,104.7,11.9,4.6,0.7,low
61.6,100.0,36.6,18.5,108.5,9.4,4.9,0.3,low
109.5,95.9,36.6,20.4,136.6,9.6,7.2,9.0,moderate
103.2,100.0,37.3,20.4,133.4,6.1,9.4,4.4,moderate
92.8,98.5,36.4,15.4,124.4,11.0,4.3,8.1,low
76.8,94.1,36.7,6.0,129.7,8.5,1.9,4.1,low
78.5,98.8,37.1,20.3,122.9,9.0,3.6,8.8,low
89.4,97.8,36.5,13.6,124.4,3.2,3.7,6.6,low
95.3,95.5,36.6,25.1,149.7,2.2,9.0,5.3,high
76.1,96.6,37.4,14.8,110.3,5.9,2.0,0.6,low
98.2,95.5,36.8,16.8,139.1,3.4,7.6,7.2,moderate
98.8,98.1,36.5,22.8,140.2,3.0,9.0,5.9,high
108.6,96.6,37.3,18.9,137.8,2.0,9.3,5.5,high
86.3,94.8,37.5,31.6,120.1,9.1,5.7,9.3,low
71.1,97.4,36.6,14.5,122.4,6.1,4.1,3.2,low
95.1,96.9,36.8,17.3,128.6,3.2,9.2,6.3,moderate
68.3,100.0,36.6,17.7,114.1,6.7,4.3,6.4,low
83.3,97.4,36.5,18.3,132.9,11.2,6.4,1.1,low
69.8,97.6,36.4,12.7,143.6,4.6,6.6,6.1,moderate
75.1,100.0,37.0,9.3,101.8,6.6,2.9,3.5,low
62.0,99.4,36.7,17.0,134.2,6.6,2.8,1.8,low
87.5,94.0,35.9,26.2,102.4,11.3,4.5,9.8,low
84.5,98.2,37.5,15.4,116.9,8.2,2.8,0.5,low
95.3,98.6,36.7,20.9,132.9,4.9,8.9,1.7,moderate
67.6,95.7,37.6,13.4,125.9,4.0,1.3,2.3,low
82.7,96.6,37.2,21.3,134.4,10.0,7.8,0.2,low
78.3,95.7,36.6,17.1,141.4,6.6,1.8,3.7,low
97.6,97.1,35.9,21.0,134.2,10.3,2.7,9.0,low
86.9,95.9,36.2,12.6,124.4,11.9,5.4,2.7,low
95.7,95.1,36.6,21.5,140.2,2.2,3.4,8.7,low
89.9,96.3,37.1,13.2,127.1,4.5,5.1,1.3,low
106.8,94.2,36.4,22.4,143.7,4.1,9.9,7.5,high
91.9,96.7,37.5,13.2,125.5,3.9,3.3,5.6,low
96.7,96.3,37.7,21.7,125.5,11.1,9.3,6.8,low
66.3,96.4,36.5,19.6,128.3,6.6,1.5,3.6,low
94.1,94.2,37.5,20.6,142.5,6.9,9.9,0.4,low
97.0,99.0,37.2,24.2,129.1,6.1,4.2,9.7,low
98.0,97.9,36.6,15.9,98.6,8.4,2.4,8.7,low
98.2,97.6,37.7,16.4,129.9,10.4,7.6,7.2,low
74.9,96.9,36.1,14.8,125.6,11.0,6.0,8.2,low
76.6,97.1,36.4,15.4,115.2,11.6,4.0,0.3,low
102.3,98.2,37.0,22.1,162.5,2.9,8.6,5.9,critical
111.1,98.2,37.3,21.1,127.5,6.8,8.5,6.4,moderate
94.1,96.2,36.9,19.4,125.4,4.0,5.8,6.8,moderate
100.4,98.1,37.1,16.7,110.1,2.9,0.6,8.5,moderate
80.0,96.6,36.2,21.0,131.6,11.6,0.6,7.7,low
99.2,99.0,36.4,18.2,137.1,7.3,7.8,5.8,low
89.3,98.2,35.3,20.6,134.1,11.0,5.5,8.7,moderate
73.8,98.3,37.0,12.2,102.4,9.9,1.3,6.1,low
84.5,98.5,36.3,14.6,120.8,9.2,5.0,5.7,low
59.7,92.4,36.8,9.4,137.2,5.4,5.7,0.5,high
100.9,97.4,37.5,20.4,144.7,4.8,9.0,1.8,high
64.3,99.9,36.0,14.1,97.0,6.6,0.1,4.4,low
89.1,99.0,36.3,19.6,128.0,6.6,7.7,4.4,low
89.0,95.8,36.6,24.8,128.6,6.3,9.3,5.2,moderate
73.1,96.8,36.5,14.0,129.0,6.4,3.9,5.6,low
102.1,96.5,37.4,14.8,121.4,8.1,8.5,2.8,moderate
92.0,94.7,36.9,24.4,160.6,3.0,9.8,1.4,high
66.4,93.8,36.6,14.3,131.6,12.0,2.3,2.8,low
88.7,97.7,36.1,21.2,143.8,6.0,2.4,8.9,low
65.2,97.3,36.7,10.9,124.3,5.9,3.6,0.0,low
88.3,97.9,37.1,17.8,115.8,12.0,5.9,6.8,low
107.3,93.7,37.2,19.5,143.6,5.6,7.4,7.4,high
45.7,100.0,36.2,18.9,109.0,9.9,2.1,3.4,low
104.8,94.3,38.0,22.4,159.8,3.9,10.0,2.0,critical
96.8,95.9,37.6,19.5,121.1,8.0,0.1,8.8,low
73.4,96.4,36.4,18.2,116.2,5.4,3.5,1.2,low
81.2,100.0,37.6,17.5,136.7,5.7,7.2,0.8,moderate
68.4,96.8,37.5,17.4,148.9,2.7,3.5,2.3,low
105.4,98.1,37.2,24.6,139.4,2.9,7.4,8.3,critical
79.0,98.9,37.1,22.7,134.2,2.7,3.2,4.7,moderate
106.0,94.1,36.3,20.3,136.3,12.0,3.6,9.0,low
77.0,98.2,37.0,18.1,149.8,3.7,6.1,2.9,moderate
82.2,95.8,37.5,22.5,127.3,4.8,8.1,1.9,moderate
119.5,100.0,36.2,20.2,149.5,3.0,9.1,5.1,high
75.8,98.9,37.6,15.5,123.6,6.1,2.3,2.4,low
91.5,94.9,37.0,22.6,130.6,3.5,3.0,4.8,moderate
111.3,96.1,37.7,18.1,136.8,6.5,8.6,8.7,high
115.2,97.0,37.0,22.9,147.2,3.2,1.7,8.5,high
74.2,97.1,36.9,12.2,86.5,4.0,4.3,7.0,low
93.9,96.8,36.7,16.7,148.0,6.1,8.4,3.8,low
100.7,98.8,35.8,16.6,134.1,8.5,6.9,2.6,moderate
75.6,97.2,36.2,13.6,115.7,6.3,3.9,4.6,low
76.9,94.1,36.6,10.6,100.1,6.7,0.0,4.0,low
70.5,98.4,37.2,6.1,118.2,9.0,1.3,0.5,low
108.8,96.9,37.2,19.0,104.8,7.0,4.4,3.9,low
58.9,97.7,37.0,17.3,129.1,5.7,5.4,4.5,low
105.7,95.8,36.0,21.4,154.2,11.7,6.4,9.6,moderate
110.9,95.0,37.1,20.4,115.2,5.2,7.1,9.8,high
88.7,96.1,35.4,18.6,95.6,5.9,1.0,7.6,moderate
77.1,100.0,37.3,13.8,118.5,8.2,0.9,6.2,low
71.1,100.0,36.8,15.3,134.0,10.9,6.1,1.2,low
103.5,100.0,36.8,22.5,136.7,4.0,8.6,3.4,high
60.9,96.9,36.8,10.5,132.8,8.3,0.2,6.1,low
76.3,91.5,36.6,18.2,128.7,11.3,3.6,8.1,moderate
88.5,96.6,37.2,19.3,134.3,6.7,6.7,2.6,low
57.8,92.1,36.7,16.1,122.3,11.7,3.2,1.6,moderate
84.3,93.8,36.1,20.3,153.4,9.7,8.6,7.0,moderate
107.7,97.0,37.1,24.0,94.7,11.3,2.1,9.9,moderate
79.1,95.6,35.9,16.0,124.4,8.5,6.2,7.0,low
72.9,95.5,36.9,18.0,148.6,5.7,4.9,0.6,low
85.6,97.4,36.4,21.2,143.3,11.8,7.5,5.8,low
77.2,96.7,36.2,19.5,107.8,5.2,2.2,1.1,low
92.3,95.8,36.5,18.2,131.7,10.7,7.8,5.3,low
121.7,93.5,36.3,28.9,152.1,4.2,8.7,9.0,critical
111.1,95.3,36.3,25.5,144.9,2.6,5.9,9.5,high
102.9,94.3,36.6,21.1,124.9,4.5,7.2,8.1,high
73.4,97.6,36.9,15.5,158.8,11.8,8.2,4.4,moderate
53.3,97.9,36.9,17.2,94.4,11.5,6.0,6.1,moderate
77.1,96.3,37.0,11.7,107.1,7.2,1.9,6.9,low
102.8,97.2,36.8,19.5,112.7,10.2,5.5,8.7,moderate
75.2,93.7,36.5,21.7,112.0,10.9,4.7,8.5,low
90.8,96.7,36.2,17.7,122.0,11.5,5.7,7.6,low
72.2,94.7,36.5,22.9,124.2,6.4,1.7,7.3,low
70.6,96.2,36.2,18.5,119.4,4.3,4.1,0.3,low
90.9,94.7,36.5,17.1,152.6,9.4,9.7,6.0,moderate
95.1,96.4,36.5,15.1,122.8,5.9,1.5,0.2,low
78.3,99.6,36.8,15.2,130.0,9.2,3.9,0.7,low
98.0,94.2,36.3,21.9,120.8,4.9,0.6,8.6,low
111.7,96.0,36.5,25.6,165.0,2.4,7.7,5.7,critical
100.7,98.9,36.3,25.4,126.5,9.7,9.2,4.3,high
84.9,98.3,36.0,15.9,136.5,6.2,1.5,4.7,low
80.7,98.5,36.5,18.1,121.6,6.1,7.0,5.1,low
96.5,97.0,37.0,19.2,144.8,4.1,0.7,5.0,low
62.9,94.8,36.1,13.2,123.9,7.8,4.2,6.0,low
98.9,96.9,36.9,23.1,146.7,10.8,8.3,6.5,moderate
92.6,96.6,36.3,16.6,121.1,7.9,3.3,4.6,low
83.6,95.1,36.6,15.5,108.6,11.6,5.6,6.1,low
110.0,95.6,36.7,18.4,163.0,2.5,8.3,3.1,critical
85.7,99.7,37.0,16.5,119.6,10.0,1.7,4.9,low
59.4,98.3,36.0,13.7,112.7,10.8,0.8,0.6,low
89.4,93.9,36.8,18.3,119.8,6.6,6.1,2.5,low
96.8,98.8,36.5,15.4,117.5,4.7,4.5,8.1,low
81.3,97.5,36.6,17.4,111.7,10.7,0.2,3.2,low
81.7,97.3,36.5,22.6,149.9,4.2,7.1,0.4,moderate
91.6,96.6,36.8,11.7,149.5,5.7,8.1,5.3,moderate
72.8,95.5,36.1,15.7,138.7,8.7,6.0,1.9,low
85.1,98.5,36.9,20.9,102.5,9.5,4.4,7.8,low
102.8,93.8,37.2,24.9,138.9,2.7,5.4,9.9,high
65.1,95.0,36.9,20.1,122.7,4.8,0.1,1.2,low
76.2,96.2,37.5,17.9,153.1,4.3,8.1,3.9,high
81.8,98.2,37.3,17.2,127.7,6.4,6.2,0.7,low
86.1,93.6,37.2,10.0,115.0,11.3,0.6,1.1,low
81.7,95.2,37.4,17.9,142.4,6.0,8.2,5.9,low
97.6,95.6,36.8,23.2,119.5,4.3,2.2,8.6,low
88.1,98.2,37.2,16.7,152.7,9.7,8.1,5.2,moderate
100.0,96.3,37.0,25.1,158.5,2.8,8.4,2.9,critical
70.0,98.9,36.2,13.1,118.2,5.7,2.2,5.4,low
102.7,97.0,38.1,22.8,145.8,2.0,7.8,7.0,critical
82.0,99.9,35.9,17.8,136.9,4.4,2.9,1.2,low
97.0,97.9,36.9,16.9,136.9,5.6,8.0,3.5,moderate
60.4,97.5,36.0,14.1,132.3,10.7,5.7,3.9,low
86.7,93.3,36.4,19.7,113.6,10.6,4.6,8.3,low
67.0,96.4,37.3,14.9,97.5,11.4,5.1,0.0,low
74.2,98.1,36.4,14.6,131.9,7.6,5.8,8.6,low
75.8,96.9,37.0,16.4,118.6,5.0,3.6,6.2,low
92.5,96.0,36.3,20.0,119.5,2.2,2.7,8.6,low
88.9,96.5,36.4,23.0,136.9,10.4,6.2,7.4,low
83.9,98.5,36.4,18.2,162.1,7.8,7.1,4.2,moderate
73.6,93.2,36.8,21.7,129.3,8.2,2.1,7.9,low
76.6,96.6,37.0,19.8,119.6,7.4,5.1,0.4,low
77.1,97.7,36.2,14.2,113.3,8.1,6.1,3.0,low
81.7,98.6,36.6,20.0,133.7,8.8,0.9,1.5,low
59.0,98.7,37.3,9.2,123.3,8.3,6.2,1.5,low
97.1,98.0,36.9,18.6,157.6,2.6,9.8,1.2,high
74.1,95.7,36.8,19.9,104.8,5.8,1.2,2.0,low
96.8,96.9,37.5,18.0,151.6,5.4,8.5,0.9,moderate
110.0,97.9,36.8,21.7,136.0,5.4,7.5,7.8,high
72.0,97.0,36.2,21.1,113.4,4.9,4.3,4.9,low
67.8,95.9,37.2,20.9,99.7,8.5,1.9,2.1,low
90.3,98.9,36.7,21.8,142.1,11.1,9.7,5.0,low
80.7,95.6,35.8,26.7,115.7,10.2,1.2,9.8,low
61.3,95.9,36.7,20.2,125.5,8.6,0.7,3.3,low
92.7,97.6,36.3,20.1,95.6,9.9,0.3,9.1,low
88.9,99.9,36.7,19.9,142.8,9.7,4.0,6.8,low
86.4,95.0,36.9,16.4,135.8,8.8,3.4,3.6,low
81.6,95.9,36.9,12.9,111.9,8.7,5.0,7.2,low
104.1,96.3,38.5,23.7,142.7,6.5,8.9,3.5,high
86.4,96.7,35.3,14.7,130.2,8.8,0.9,1.8,low
87.0,96.5,36.1,22.1,142.4,11.6,6.9,3.9,low
75.0,94.7,35.3,19.1,120.0,8.3,4.0,1.2,low
93.4,97.9,36.3,18.8,135.9,8.0,6.9,3.9,low
92.6,94.6,36.3,21.0,137.2,5.5,8.7,0.9,moderate
91.3,100.0,36.0,21.6,137.6,2.6,3.0,0.1,low
66.1,95.6,36.3,16.8,140.4,10.1,1.4,4.9,low
120.9,94.2,36.3,21.2,142.2,4.2,3.1,9.7,moderate
76.3,95.2,36.8,18.1,140.2,4.9,8.5,1.5,moderate
58.5,97.7,37.2,25.8,132.2,4.7,4.0,4.8,low
89.6,93.9,37.3,23.7,105.0,7.5,3.3,9.5,low
86.6,92.7,36.8,21.9,145.6,11.8,6.3,8.8,moderate
52.7,98.4,35.3,17.3,118.1,11.0,5.5,2.6,moderate
101.3,96.2,36.8,18.7,132.0,3.1,4.0,8.0,moderate
106.7,97.0,37.4,13.5,134.8,4.3,9.8,5.0,high
80.9,96.3,37.3,17.9,123.5,5.3,5.3,4.5,low
79.0,95.5,35.4,16.4,131.2,11.8,3.1,1.9,low
90.1,94.6,35.9,22.3,134.1,4.9,7.4,5.1,moderate
66.3,95.1,36.8,13.3,123.3,9.5,3.6,2.4,low
117.5,96.2,37.5,24.2,149.7,10.4,9.9,3.7,high
77.6,93.1,37.1,22.2,128.5,9.8,2.2,8.7,low
80.9,100.0,36.8,10.7,116.1,11.3,3.7,6.9,low
96.7,97.8,36.2,10.3,117.6,10.1,4.5,5.6,low
116.8,96.3,36.9,15.7,123.1,6.7,2.1,9.3,moderate
75.2,94.6,36.0,17.4,137.7,9.0,2.1,4.1,low
103.5,94.0,36.6,18.6,147.6,2.4,8.8,3.0,high
97.1,91.1,37.7,21.2,153.7,11.7,9.2,3.8,high
96.9,97.3,36.2,16.4,118.7,4.8,4.5,4.3,low
97.0,99.0,36.3,20.3,165.3,5.2,9.3,3.0,moderate
95.0,95.5,37.2,19.4,108.2,10.8,0.4,9.2,low
80.2,97.0,35.8,15.2,123.0,11.2,2.5,2.4,low
90.1,100.0,37.0,19.5,132.6,7.5,7.1,8.6,low
82.4,93.9,36.9,18.7,135.3,8.1,6.9,7.2,low
92.4,97.7,37.0,16.5,144.3,4.4,3.2,9.2,low
86.4,95.0,36.4,16.6,112.4,9.2,0.2,1.1,low
109.1,98.1,36.6,19.1,139.4,10.2,7.5,8.2,moderate
127.3,93.5,36.2,22.6,132.7,11.7,7.0,9.4,moderate
106.0,94.0,37.8,19.7,126.7,11.5,5.1,9.3,moderate
91.8,94.2,35.9,17.2,109.4,8.9,2.5,9.1,low
92.3,97.3,37.9,20.7,161.4,11.2,8.1,1.4,moderate
95.4,94.6,36.8,18.3,157.6,2.3,7.6,0.3,high
95.5,96.4,36.9,17.7,125.0,6.5,4.3,7.7,low
81.2,95.8,36.5,23.7,151.7,6.0,8.3,0.7,high
104.5,100.0,37.3,20.0,148.9,3.2,9.4,3.4,high
87.0,98.7,36.4,13.6,112.7,7.9,2.6,6.9,low
88.1,94.7,36.7,17.4,112.8,7.1,2.0,7.6,low
111.6,94.0,37.2,16.3,176.8,9.5,9.6,0.2,high
110.2,96.1,36.3,16.1,101.7,7.8,5.5,9.6,moderate
77.5,94.2,37.3,19.8,107.1,5.8,6.0,5.8,low
79.5,96.8,36.3,17.4,136.7,3.3,2.5,0.4,low
91.7,94.8,36.5,26.6,115.0,9.9,3.1,9.2,low
83.7,96.9,36.6,13.9,136.9,8.7,1.9,2.0,low
92.7,97.6,37.6,17.6,114.8,2.6,4.2,5.8,low
72.5,94.7,36.3,18.6,105.0,11.1,0.2,6.4,low
103.2,97.1,36.8,21.7,116.2,4.3,5.1,8.0,moderate
109.1,95.2,37.5,26.7,124.5,4.1,7.4,9.5,high
101.4,97.5,36.3,25.1,158.9,2.2,7.8,0.8,critical
119.9,93.5,37.0,25.7,123.5,5.9,7.7,9.7,high
85.2,95.8,36.9,12.1,136.4,7.4,5.6,7.0,low
94.5,96.4,36.1,19.9,111.4,6.6,2.2,8.7,low
102.7,96.0,36.4,16.2,114.1,5.1,1.5,8.4,moderate
73.1,97.9,36.4,9.4,136.0,7.1,0.1,3.0,low
104.1,95.8,37.1,21.6,142.9,3.9,8.7,7.6,high
81.9,95.9,36.3,18.5,124.2,10.6,5.8,2.1,low
90.2,94.7,36.9,23.4,122.4,7.8,7.1,8.1,moderate
83.3,98.2,36.4,23.7,133.7,10.5,6.8,2.5,low
82.1,95.3,36.0,17.2,147.0,10.0,7.3,2.0,low
79.0,96.1,36.8,15.9,112.1,2.1,3.5,5.0,low
83.7,97.8,36.6,16.1,117.4,2.9,3.6,2.7,low
88.5,97.5,36.9,29.4,148.5,11.3,8.8,3.9,moderate
71.2,100.0,37.3,15.7,121.7,7.9,6.5,0.3,low
81.5,98.6,36.9,19.3,123.8,4.8,7.1,6.1,moderate
97.0,94.9,36.8,18.9,159.3,4.6,9.6,3.1,high
76.1,91.7,36.8,17.4,118.8,5.3,4.1,4.3,moderate
75.7,99.1,36.7,20.2,127.4,10.0,1.2,1.2,low
72.9,95.9,36.1,13.4,128.7,4.3,1.7,7.6,low
92.4,93.2,36.4,22.4,106.7,11.0,5.1,9.1,low
69.2,97.3,37.2,23.8,109.3,7.0,6.6,6.9,low
122.6,95.9,37.5,27.0,127.7,8.4,8.3,10.0,high
79.6,95.6,36.3,15.6,121.9,11.4,2.1,2.6,low
85.4,93.0,36.3,20.5,123.2,5.3,3.4,2.9,moderate
76.1,95.4,36.0,17.7,129.2,8.7,2.9,5.3,low
92.0,97.0,36.2,10.6,132.0,11.2,1.7,7.5,low
82.1,95.4,36.8,17.0,124.6,10.4,0.0,5.2,low
92.6,100.0,37.1,21.6,141.4,2.1,8.5,7.2,moderate
113.6,96.4,37.4,23.1,162.8,4.9,9.7,8.6,critical
66.2,97.2,36.1,14.2,127.1,9.4,0.2,3.6,low
73.2,99.0,36.9,12.8,135.6,6.9,6.1,1.6,low
73.4,94.6,36.2,20.1,122.4,10.8,4.8,3.6,low
76.9,96.2,36.2,26.7,126.9,5.1,1.9,4.8,low
96.9,97.7,37.3,21.8,139.4,2.9,8.7,3.8,moderate
100.8,98.3,36.1,20.4,151.3,8.6,7.5,7.2,high
